mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,tcos,tsin,dphi,lprob
2.3835929238515207e-6,224.7007750655104,3503.768808153214,0.004645809307459851,-0.0034428398148759723,3.0719523673067247e-6,365.2564502821202,3624.407596290664,0.0167084266676346,-0.00047602533181319496,0.0008679353210024316,4248.974506727586,572.0454437442959,0.024761809399347467,-0.03489080103659823,8.899202237266622e-5,-0.0017687083534183967,2.263333333333333,-301.0601626454898
2.3835698328253254e-6,224.7007750655223,3503.768808153193,0.004645845843385478,-0.003443415150510065,3.071952890700246e-6,365.25645028245555,3624.407596285051,0.016708434836950198,-0.0004764910258249282,0.0008679350992983064,4248.97058235775,572.0620367797732,0.024761646426507036,-0.03488972019129815,8.899672943853557e-5,-0.001768718423125427,2.2645454545454546,-299.58149867504466
2.3835670981729826e-6,224.70077506547486,3503.768808154282,0.004646062796087792,-0.0034435071475396348,3.0719540339329636e-6,365.25645028209135,3624.407596290375,0.016708596457253276,-0.00047656091254109635,0.000867937808268475,4248.973454343445,572.0545371697195,0.024762115189859244,-0.03489004353220586,8.899640753496624e-5,-0.0017687205660448868,2.2657575757575756,-298.06769463685475
2.383578512334667e-6,224.70077506549603,3503.7688081537203,0.004645828342650059,-0.0034433148136326446,3.071952577114108e-6,365.25645028218725,3624.407596289298,0.016708430371711037,-0.0004764038707180388,0.0008679370982079308,4248.973291253412,572.0531198980382,0.024761920132830354,-0.034890174448188496,8.899377396491136e-5,-0.0017687144512236715,2.266969696969697,-296.5183436186221
2.3835800892607307e-6,224.7007750654968,3503.7688081536508,0.00464576560527635,-0.003443335026782179,3.0719521762420927e-6,365.25645028220174,3624.407596289012,0.016708383396175287,-0.0004764173278091788,0.0008679371165924622,4248.973386313382,572.052326827967,0.024761899666689517,-0.03489030775717851,8.899358188485053e-5,-0.001768713348796769,2.268181818181818,-294.93384723757595
2.3835915758205483e-6,224.70077506547491,3503.7688081539673,0.004645763283075452,-0.0034436040228704007,3.0719519744409506e-6,365.25645028205156,3624.4075962913903,0.01670839555087203,-0.00047664715986977656,0.0008679315185530212,4248.975687882329,572.0467931647609,0.02476083877410198,-0.03489079633135632,8.898865829281945e-5,-0.0017687073465372635,2.2693939393939395,-293.3128578898291
2.3835574043267074e-6,224.70077506551948,3503.7688081533647,0.004645944642246671,-0.0034440058860663826,3.07195373242902e-6,365.2564502826536,3624.4075962816437,0.01670850649446143,-0.00047697016946334473,0.0008679329235214436,4248.967306021143,572.0754452759787,0.02476131692181726,-0.03488909190536052,8.899756322275522e-5,-0.0017687237320219327,2.2706060606060605,-291.65715209525695
2.3835854297707635e-6,224.70077506553733,3503.7688081527504,0.004645621396304204,-0.003442772055856205,3.071951642902978e-6,365.25645028229843,3624.4075962878856,0.016708276379106355,-0.0004759779875531158,0.0008679384472019923,4248.971815345248,572.0539252083305,0.024762278484137534,-0.03489020215768859,8.899405639692181e-5,-0.001768710672293404,2.271818181818182,-289.96196515554635
2.3835711531008323e-6,224.7007750654882,3503.768808153969,0.00464584013646252,-0.0034433980119858818,3.071952643570549e-6,365.256450282155,3624.407596289595,0.01670843152463059,-0.0004764693972392684,0.0008679391222777191,4248.973317705448,572.0539337355398,0.02476219856359694,-0.034890030896739206,8.899617988862373e-5,-0.0017687177937043112,2.273030303030303,-288.23097691558706
2.383550082614506e-6,224.70077506546212,3503.768808154847,0.004645822889989469,-0.003444554523322683,3.0719530079352344e-6,365.25645028234175,3624.4075962863376,0.016708419285692895,-0.0004773983443512043,0.0008679380122157862,4248.970837101178,572.0715834329626,0.024761539875727615,-0.03488867224254283,8.899444622799269e-5,-0.0017687257797149888,2.2742424242424244,-286.46222792086087
2.3835713521705634e-6,224.7007750654894,3503.768808153978,0.004645706526167076,-0.00344381344555946,3.0719520681745576e-6,365.25645028228837,3624.407596287626,0.01670834059084355,-0.00047680675582120746,0.0008679366602329078,4248.9723058513355,572.0605053487374,0.02476155326536906,-0.03488960274712798,8.899243283240947e-5,-0.001768716378558659,2.2754545454545454,-284.6540304982521
2.383566119191953e-6,224.70077506549413,3503.768808153937,0.004645786841898147,-0.0034435893686675344,3.0719525573212946e-6,365.25645028227063,3624.4075962878433,0.016708393052636054,-0.00047662103832417916,0.0008679394364598113,4248.97202392369,572.0601434846935,0.024762134209135388,-0.034889525794114966,8.899553020295627e-5,-0.0017687196278312629,2.276666666666667,-282.8086095718495
2.383594735976541e-6,224.7007750655084,3503.7688081532638,0.004645658496772927,-0.003443494060230255,3.071951936089651e-6,365.2564502822764,3624.4075962884026,0.016708333321011383,-0.0004765600581515846,0.0008679294659664759,4248.973471298101,572.0543679282824,0.024760501293191836,-0.034890247071295,8.898644737355455e-5,-0.0017687056974200882,2.277878787878788,-280.923381401912
2.3835921657086555e-6,224.70077506553991,3503.7688081526053,0.0046454242164455165,-0.003443802307060776,3.071950507509446e-6,365.2564502826768,3624.4075962822985,0.01670815668325677,-0.00047680920672989137,0.0008679280898042277,4248.969543789663,572.0666984993048,0.024760169677695735,-0.034889687055956894,8.898623148287039e-5,-0.001768705383343922,2.2790909090909093,-279.00126023522466
2.3835894551586043e-6,224.70077506548463,3503.768808153874,0.004645762503133227,-0.003442864294535455,3.0719520444801225e-6,365.25645028190775,3624.40759629387,0.016708387493591735,-0.0004760347242903751,0.0008679395120245159,4248.976903509207,572.0398900537077,0.024762266087128466,-0.03489078751120989,8.89919171020181e-5,-0.0017687097816249551,2.2803030303030303,-277.0413992947227
2.3835887653120196e-6,224.70077506550814,3503.7688081532624,0.004645885667713437,-0.003443182684219501,3.0719529151951326e-6,365.2564502822267,3624.4075962888437,0.01670848651230299,-0.0004763059917569251,0.0008679322911793419,4248.973128393009,572.0515311078501,0.024761325658509647,-0.03489059440956407,8.899178215844046e-5,-0.001768710057922211,2.2815151515151517,-275.04400892114114
2.383557897148081e-6,224.7007750654864,3503.7688081541573,0.004645827779341555,-0.0034442100029721504,3.0719528320784873e-6,365.256450282455,3624.407596284626,0.01670842162777331,-0.0004771227001435106,0.0008679366216154297,4248.96971428837,572.0706408112381,0.02476158685200118,-0.03488908581065776,8.89955312214931e-5,-0.0017687226980256576,2.2827272727272727,-273.0110957621637
2.3835682654452017e-6,224.70077506549652,3503.7688081538176,0.004645742513110112,-0.003443816946883876,3.0719522165072917e-6,365.2564502823757,3624.407596286163,0.016708362032441998,-0.0004768083215540967,0.0008679365289259734,4248.971120844863,572.0629857252256,0.024761645758306465,-0.034889589826564704,8.899500202369406e-5,-0.0017687180031875623,2.283939393939394,-270.94118931087064
2.3835666370886415e-6,224.70077506547705,3503.7688081543097,0.004645854716934263,-0.0034438579638615932,3.0719529744818375e-6,365.25645028222795,3624.4075962884235,0.016708451790385735,-0.00047683711144833534,0.0008679379144591453,4248.97246855365,572.0608275592596,0.02476182045768818,-0.034889488019694805,8.899325215480299e-5,-0.0017687193177255026,2.285151515151515,-268.83772053853556
2.383572174638255e-6,224.70077506549336,3503.7688081538336,0.004645890466365547,-0.003443510218127619,3.0719529726464327e-6,365.2564502822501,3624.407596288126,0.016708470544421858,-0.00047656182492710587,0.0008679368470620883,4248.972258686004,572.0572700429893,0.024761903358148974,-0.03488997832555855,8.899518075218116e-5,-0.0017687173899853215,2.286363636363636,-266.70229096041874
2.383557784381913e-6,224.70077506547807,3503.768808154399,0.004645831652102982,-0.003444097172450521,3.0719528704640876e-6,365.25645028232174,3624.4075962868355,0.01670842391147348,-0.0004770305402614684,0.0008679381338573442,4248.971268573047,572.0661635726548,0.024761757398954223,-0.03488911097623215,8.899531232697015e-5,-0.0017687229751949178,2.2875757575757576,-264.53810711301657
2.38358660514177e-6,224.70077506551016,3503.768808153275,0.004645701689138794,-0.0034429686987364947,3.0719516918227656e-6,365.25645028217485,3624.40759628958,0.01670833447951396,-0.00047612585496135777,0.000867937632629007,4248.973813680145,572.0480078067264,0.024762089970795993,-0.03489064410412388,8.899422910866616e-5,-0.0017687105774607723,2.2887878787878786,-262.34637036331804
2.3835937532372053e-6,224.70077506551766,3503.768808153039,0.004645668994650048,-0.003442613875389449,3.0719513813717582e-6,365.25645028212034,3624.4075962906227,0.016708313319625745,-0.0004758360446836511,0.0008679389241911556,4248.974639042731,572.042708810014,0.02476239447756182,-0.034890970124795986,8.899365486185222e-5,-0.0017687077014031075,2.29,-260.13338274972654
2.3835877104496936e-6,224.70077506550876,3503.768808153304,0.004645756358943094,-0.0034432266231959273,3.071952176331899e-6,365.2564502822325,3624.407596288782,0.016708385752628445,-0.0004763409019647607,0.0008679338115247759,4248.973292058814,572.0519899693912,0.024761415327236705,-0.03489042619516351,8.899159567049091e-5,-0.0017687098982667794,2.291212121212121,-257.90382255961384
2.3835840580624313e-6,224.70077506549893,3503.768808153597,0.00464561124626161,-0.0034430105845761768,3.071951241039031e-6,365.2564502820627,3624.4075962913716,0.016708266150835607,-0.0004761553727555608,0.0008679392563218101,4248.97573132792,572.0447156913102,0.02476210851732495,-0.03489049872028222,8.899358203982598e-5,-0.0017687112679806338,2.2924242424242425,-255.66322551339363
2.383588811952217e-6,224.70077506549464,3503.7688081535966,0.004645922091826161,-0.0034429220605730134,3.071953148187844e-6,365.2564502820014,3624.407596292371,0.016708510294260525,-0.0004760938278765851,0.0008679351954777147,4248.975490261849,572.0440439784536,0.02476176687170789,-0.034890787635492373,8.899227602268112e-5,-0.0017687106436177502,2.2936363636363635,-253.4186713273782
2.383565380340045e-6,224.70077506549913,3503.768808153814,0.004645707317749905,-0.003443771281151223,3.071952061990721e-6,365.25645028238074,3624.4075962860675,0.016708332701788082,-0.0004767676383423037,0.0008679384264649143,4248.970983193692,572.0639143528035,0.02476190564268812,-0.03488940777284454,8.899538861610274e-5,-0.0017687192823206696,2.294848484848485,-251.18008864211424
2.3835868214154657e-6,224.700775065511,3503.7688081532865,0.004645733872898503,-0.003443153296265022,3.0719519789916673e-6,365.25645028221,3624.4075962892603,0.016708366494541188,-0.00047628268717667637,0.0008679341432257774,4248.973615785215,572.0507979728709,0.02476141921547194,-0.03489039744343338,8.899224778577849e-5,-0.0017687103372172454,2.296060606060606,-248.95498191675705
2.383572990531962e-6,224.7007750655159,3503.7688081533424,0.004645573922631727,-0.0034435610261900514,3.071951274001787e-6,365.2564502824432,3624.4075962852116,0.01670823453070715,-0.00047660266263013193,0.0008679384653128992,4248.970435528906,572.0629484932776,0.024761976155581036,-0.03488965481608982,8.899404036129991e-5,-0.001768715256557043,2.2972727272727274,-246.75823533326445
2.3835961506991077e-6,224.70077506551178,3503.76880815317,0.00464571372288151,-0.0034427631629072326,3.0719518374904063e-6,365.25645028209686,3624.407596291134,0.016708359930223293,-0.00047596100937713444,0.0008679363376329476,4248.975048681077,572.0436789309346,0.02476189807105887,-0.034890826438954484,8.899117213579129e-5,-0.0017687065246176055,2.2984848484848484,-244.60100854555688
2.3835680987542808e-6,224.70077506548225,3503.7688081540828,0.004646123477808108,-0.003443332286746026,3.071954319190058e-6,365.25645028207975,3624.4075962903985,0.01670862667567652,-0.0004764302903722537,0.0008679369544618091,4248.973304115242,572.0525210297477,0.024762176787698494,-0.03489038373032097,8.899987918055464e-5,-0.001768720557443699,2.29969696969697,-242.50224707089558
2.3835678549174383e-6,224.70077506549183,3503.768808153945,0.004645831831055083,-0.003444127420860928,3.0719529702715523e-6,365.2564502824358,3624.407596285225,0.016708439467207375,-0.00047706756130147906,0.0008679333051276508,4248.970262800298,572.0686669784878,0.024761113257831306,-0.03488927813344775,8.899187437531865e-5,-0.0017687180074259436,2.300909090909091,-240.47604370551105
2.3835656186145897e-6,224.70077506548571,3503.768808154068,0.004645902575547233,-0.0034440840876373163,3.071953172980485e-6,365.256450282386,3624.407596285928,0.016708483011550524,-0.00047702554661110665,0.0008679334607359788,4248.971284458187,572.0644262793305,0.024761144074152867,-0.03488951768513179,8.899417382729483e-5,-0.0017687196634846053,2.3021212121212122,-238.54369785842678
